City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bengkulu,ID,75.54,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
3,Lardos,GR,75.94,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
5,Bubaque,GW,82.72,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
10,Hilo,US,79.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
13,Faanui,PF,79.14,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
16,Sabha,LY,78.49,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
18,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
19,Buala,SB,81.3,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
23,Banjar,ID,75.06,broken clouds,-8.19,114.9675,The Hamsa Resort
24,Upala,CR,90.0,scattered clouds,10.8979,-85.0145,Hotel El Pueblo Upala
27,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,Pacific Grove,US,83.61,clear sky,36.6177,-121.9166,Lovers Point Inn
33,Hambantota,LK,79.99,overcast clouds,6.1241,81.1185,Bungalow 63
34,Muisne,EC,77.11,overcast clouds,0.6,-80.0333,Quinta Samay
35,Kavieng,PG,82.22,broken clouds,-2.5744,150.7967,Nusa Island Retreat
50,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
53,Hatillo,PR,87.85,scattered clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
55,Maiduguri,NG,84.42,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
57,Araripina,BR,85.6,overcast clouds,-7.5761,-40.4983,Hotel Eco Recanto da Serra
64,Aden,YE,87.42,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
67,Butaritari,KI,81.27,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
84,Sinnamary,GF,82.78,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
88,Amberley,US,84.34,clear sky,39.2048,-84.428,"Motel 6 Cincinnati, OH - Central - Norwood"
89,La Cruz,MX,87.53,scattered clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
90,Sao Filipe,CV,81.03,clear sky,14.8961,-24.4956,Hotel Xaguate
92,Kudahuvadhoo,MV,83.28,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
93,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
107,Solana Beach,US,88.9,clear sky,32.9912,-117.2711,Hilton San Diego/Del Mar
