City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,51.46,35,40,24.16,light rain
1,New Norfolk,AU,-42.7826,147.0587,43.75,72,87,3.0,overcast clouds
2,Bengkulu,ID,-3.8004,102.2655,75.54,90,91,3.42,overcast clouds
3,Lardos,GR,36.0942,28.0157,75.94,68,0,7.23,clear sky
4,Cabo San Lucas,MX,22.8909,-109.9124,96.62,63,40,4.0,scattered clouds
5,Bubaque,GW,11.2833,-15.8333,82.72,77,100,9.82,overcast clouds
6,Chokurdakh,RU,70.6333,147.9167,17.51,89,100,5.79,overcast clouds
7,Otradnoye,RU,59.7775,30.8181,51.57,68,15,8.75,few clouds
8,Pevek,RU,69.7008,170.3133,22.57,92,100,7.49,overcast clouds
9,Gazojak,TM,41.1875,61.4036,49.96,40,0,3.06,clear sky
10,Hilo,US,19.7297,-155.09,79.29,91,90,5.75,moderate rain
11,Punta Arenas,CL,-53.15,-70.9167,51.91,37,20,34.52,few clouds
12,Bluff,NZ,-46.6,168.3333,47.8,90,100,5.1,overcast clouds
13,Faanui,PF,-16.4833,-151.75,79.14,76,41,13.27,scattered clouds
14,Nanortalik,GL,60.1432,-45.2371,36.37,61,6,2.91,clear sky
15,Rikitea,PF,-23.1203,-134.9692,74.62,80,97,19.73,overcast clouds
16,Sabha,LY,27.0377,14.4283,78.49,13,0,12.06,clear sky
17,Upernavik,GL,72.7868,-56.1549,33.08,98,100,12.64,snow
18,Vaini,TO,-21.2,-175.2,75.36,88,75,4.61,broken clouds
19,Buala,SB,-8.145,159.5921,81.3,80,96,5.14,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,47.48,88,100,2.59,light rain
21,Aljezur,PT,37.3191,-8.8033,66.51,82,100,5.12,overcast clouds
22,Bredasdorp,ZA,-34.5322,20.0403,62.28,88,70,1.14,broken clouds
23,Banjar,ID,-8.19,114.9675,75.06,86,68,6.73,broken clouds
24,Upala,CR,10.8979,-85.0145,90.0,77,45,3.56,scattered clouds
25,Vao,NC,-22.6667,167.4833,69.64,63,4,14.92,clear sky
26,Bilibino,RU,68.0546,166.4372,-1.37,100,93,2.82,overcast clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,76.96,80,67,8.01,broken clouds
28,Qaanaaq,GL,77.484,-69.3632,29.5,89,100,8.43,overcast clouds
29,Pacific Grove,US,36.6177,-121.9166,83.61,72,1,7.0,clear sky
30,Albany,US,42.6001,-73.9662,67.03,77,97,1.01,overcast clouds
31,Sao Domingos,BR,-13.3983,-46.3183,90.01,24,98,1.5,overcast clouds
32,Bira,RU,49.0,132.4667,38.82,84,42,10.02,scattered clouds
33,Hambantota,LK,6.1241,81.1185,79.99,81,100,17.94,overcast clouds
34,Muisne,EC,0.6,-80.0333,77.11,82,100,8.7,overcast clouds
35,Kavieng,PG,-2.5744,150.7967,82.22,75,63,6.98,broken clouds
36,East London,ZA,-33.0153,27.9116,59.86,70,17,17.9,few clouds
37,Pando,UY,-34.7167,-55.95,66.6,72,90,12.66,light rain
38,Jamestown,US,42.097,-79.2353,72.99,71,40,8.99,scattered clouds
39,Port Elizabeth,ZA,-33.918,25.5701,61.09,72,40,18.41,scattered clouds
40,Hasaki,JP,35.7333,140.8333,64.69,73,54,14.85,broken clouds
41,Mokhsogollokh,RU,61.4681,128.9203,37.04,79,100,10.69,overcast clouds
42,Airai,TL,-8.9266,125.4092,60.84,69,100,1.25,overcast clouds
43,Riosucio,CO,5.4216,-75.7032,63.03,95,95,2.21,light rain
44,Kardailovo,RU,51.5386,53.9042,48.88,68,100,2.51,overcast clouds
45,Castro,BR,-24.7911,-50.0119,57.63,93,100,9.22,overcast clouds
46,Belle Fourche,US,44.6714,-103.8522,68.09,26,1,19.86,clear sky
47,Te Anau,NZ,-45.4167,167.7167,42.24,97,100,1.21,moderate rain
48,Lagoa,PT,39.05,-27.9833,71.13,85,100,22.84,overcast clouds
49,Chapais,CA,49.7834,-74.8492,58.78,94,100,7.83,overcast clouds
50,Alofi,NU,-19.0595,-169.9187,75.09,94,90,2.3,overcast clouds
51,Mar Del Plata,AR,-38.0023,-57.5575,59.02,28,20,15.01,few clouds
