City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2021-10-10 04:52:44,57.79,-152.4072,43.57,70,55,29.82
1,Victoria,HK,2021-10-10 04:52:34,22.2855,114.1577,82.36,87,100,5.01
2,Narsaq,GL,2021-10-10 04:54:12,60.9167,-46.05,31.3,41,56,6.15
3,Iglesias,IT,2021-10-10 04:55:45,39.3114,8.535,58.75,85,3,4.43
4,Colares,PT,2021-10-10 04:54:38,38.7992,-9.4469,60.89,77,77,3.0
5,Naze,JP,2021-10-10 04:54:35,28.3667,129.4833,83.32,77,52,20.24
6,Vaini,TO,2021-10-10 04:52:27,-21.2,-175.2,75.36,94,75,4.61
7,Busselton,AU,2021-10-10 04:52:44,-33.65,115.3333,67.05,59,76,10.31
8,Mataura,NZ,2021-10-10 04:52:28,-46.1927,168.8643,64.06,51,84,4.07
9,Port Alfred,ZA,2021-10-10 04:52:30,-33.5906,26.891,61.36,61,73,8.59
10,Sao Filipe,CV,2021-10-10 04:52:56,14.8961,-24.4956,78.76,80,3,8.77
11,Chokurdakh,RU,2021-10-10 04:52:35,70.6333,147.9167,12.56,91,83,5.55
12,Butaritari,KI,2021-10-10 04:52:25,3.0707,172.7902,81.91,74,39,10.2
13,Taltal,CL,2021-10-10 04:53:52,-25.4,-70.4833,58.44,65,0,3.38
14,Port Hardy,CA,2021-10-10 04:53:41,50.6996,-127.4199,46.58,87,90,5.75
15,Sibolga,ID,2021-10-10 04:55:46,1.7427,98.7792,85.12,71,94,5.19
16,Cherskiy,RU,2021-10-10 04:52:56,68.75,161.3,7.68,98,75,4.92
17,Lebu,CL,2021-10-10 04:52:39,-37.6167,-73.65,48.4,94,3,2.89
18,Puerto Ayora,EC,2021-10-10 04:53:05,-0.7393,-90.3518,68.56,89,50,1.99
19,Bengkulu,ID,2021-10-10 04:49:18,-3.8004,102.2655,85.17,73,41,9.35
20,Sao Joao Da Barra,BR,2021-10-10 04:52:43,-21.6403,-41.0511,67.64,88,100,12.12
21,Hambantota,LK,2021-10-10 04:55:47,6.1241,81.1185,86.34,79,40,11.5
22,Hilo,US,2021-10-10 04:50:42,19.7297,-155.09,74.28,90,90,5.75
23,Hithadhoo,MV,2021-10-10 04:52:48,-0.6,73.0833,83.08,69,97,12.19
24,Los Llanos De Aridane,ES,2021-10-10 04:55:47,28.6585,-17.9182,69.55,73,75,17.27
25,San Patricio,US,2021-10-10 04:54:28,28.017,-97.5169,82.26,80,0,11.72
26,Groa,NO,2021-10-10 04:55:48,62.65,8.7167,51.89,96,100,3.2
27,Nikolskoye,RU,2021-10-10 04:53:00,59.7035,30.7861,48.02,80,77,6.51
28,Paciran,ID,2021-10-10 04:55:48,-6.8767,112.3761,90.37,49,57,9.37
29,Upernavik,GL,2021-10-10 04:53:29,72.7868,-56.1549,32.67,75,100,15.28
30,Somerset,US,2021-10-10 04:55:48,40.5668,-74.5496,66.94,88,100,3.0
31,Punta Arenas,CL,2021-10-10 04:52:48,-53.15,-70.9167,39.31,87,40,19.57
32,Buraydah,SA,2021-10-10 04:55:49,26.326,43.975,70.25,15,0,6.26
33,Dikson,RU,2021-10-10 04:53:19,73.5069,80.5464,29.59,69,100,25.77
34,Avarua,CK,2021-10-10 04:52:32,-21.2078,-159.775,75.25,69,91,4.61
35,Vanimo,PG,2021-10-10 04:55:49,-2.6741,141.3028,86.0,69,43,8.28
36,Jiuquan,CN,2021-10-10 04:55:49,39.7432,98.5174,53.19,14,0,12.15
37,Ixtapa,MX,2021-10-10 04:54:59,20.7,-105.2,83.23,86,87,2.62
38,Stornoway,GB,2021-10-10 04:55:50,58.2093,-6.3865,53.92,82,90,9.22
39,Lavrentiya,RU,2021-10-10 04:54:12,65.5833,-171.0,30.52,76,95,6.02
40,Kaka,TM,2021-10-10 04:55:50,37.3482,59.6143,53.76,25,0,2.82
